dataset_id,dataset,task,partition,dirichlet_alpha,dirichlet_concentration,metric,seed_count,seeds,final_mean,final_std
ciciot2023,CICIoT2023,binary,iid,,iid,accuracy,3,"42,43,44",0.9313510693792385,0.001716976240139482
ciciot2023,CICIoT2023,binary,dirichlet,0.3,low,accuracy,3,"42,43,44",0.9257381324986959,0.002244228216546475
ciciot2023,CICIoT2023,multiclass,iid,,iid,accuracy,3,"42,43,44",0.7941575378195097,0.0031030671165397875
ciciot2023,CICIoT2023,multiclass,dirichlet,0.3,low,accuracy,3,"42,43,44",0.743453312467397,0.021806091523171096
ciciot2023,CICIoT2023,binary,iid,,iid,eval_loss,3,"42,43,44",0.1480547799601428,0.0037645899073557644
ciciot2023,CICIoT2023,binary,dirichlet,0.3,low,eval_loss,3,"42,43,44",0.16760949267654537,0.006030319522499321
ciciot2023,CICIoT2023,multiclass,iid,,iid,eval_loss,3,"42,43,44",0.4616559586104591,0.0030618804283989243
ciciot2023,CICIoT2023,multiclass,dirichlet,0.3,low,eval_loss,3,"42,43,44",0.576639180787852,0.0708701338583805
ton_iot_extracted,ToN-IoT,binary,iid,,iid,accuracy,3,"42,43,44",0.9960257454150673,0.0005825667558961119
ton_iot_extracted,ToN-IoT,binary,dirichlet,0.3,low,accuracy,3,"42,43,44",0.9945523632274824,0.0022722063646423707
ton_iot_extracted,ToN-IoT,multiclass,iid,,iid,accuracy,3,"42,43,44",0.9362374471714939,0.0050021956257206585
ton_iot_extracted,ToN-IoT,multiclass,dirichlet,0.3,low,accuracy,3,"42,43,44",0.8751502462099182,0.03127556772228102
ton_iot_extracted,ToN-IoT,binary,iid,,iid,eval_loss,3,"42,43,44",0.019170901399211376,0.005112288580418128
ton_iot_extracted,ToN-IoT,binary,dirichlet,0.3,low,eval_loss,3,"42,43,44",0.030606336982071523,0.019483711486058437
ton_iot_extracted,ToN-IoT,multiclass,iid,,iid,eval_loss,3,"42,43,44",0.2431288444031242,0.010625102998234121
ton_iot_extracted,ToN-IoT,multiclass,dirichlet,0.3,low,eval_loss,3,"42,43,44",0.3790852465823152,0.03872653803588991
bot_iot,Bot-IoT,binary,iid,,iid,accuracy,3,"42,43,44",0.9993806636677749,5.645905233617741e-05
bot_iot,Bot-IoT,binary,dirichlet,0.3,low,accuracy,3,"42,43,44",0.9977508312145512,0.0028860462670396553
bot_iot,Bot-IoT,multiclass,iid,,iid,accuracy,3,"42,43,44",0.9993806636677749,5.64590523361774e-05
bot_iot,Bot-IoT,multiclass,dirichlet,0.3,low,accuracy,3,"42,43,44",0.9992502770715171,5.6459052336113304e-05
bot_iot,Bot-IoT,binary,iid,,iid,eval_loss,3,"42,43,44",0.011040320567360712,0.0041588893034353236
bot_iot,Bot-IoT,binary,dirichlet,0.3,low,eval_loss,3,"42,43,44",0.009253553346827247,0.006724898710127242
bot_iot,Bot-IoT,multiclass,iid,,iid,eval_loss,3,"42,43,44",0.0061291380954135374,0.0005434881604419855
bot_iot,Bot-IoT,multiclass,dirichlet,0.3,low,eval_loss,3,"42,43,44",0.005405428042132957,0.0021631111319659613
